L= 50  beta= 1.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
2.1782178217821784	-40.164036007051365	-0.4043497186661655	9794998674959814e-30	-7017509080501546e-25	35539781491255626e-35
2.227722772277228	-40.16406433664349	-0.40446888743954545	42393618966598185e-31	-7012745220530102e-25	3788017096143149e-34
2.277227722772277	-40.1640895879194	-0.404686491266255	9898907228393674e-31	-7008313629117294e-25	3895831985707687e-34
2.3267326732673266	-40.16411000944098	-0.40496175802379797	-41716849578766096e-32	-7004301708381085e-25	3970041156739437e-34
2.376237623762376	-40.1641242499327	-0.4052489049874245	-15028164559068162e-31	-7000799746513802e-25	3776110031247674e-34
2.4257425742574257	-40.16413145471062	-0.4055041518701643	660611613150574e-30	-6997876674610158e-25	39998689061163844e-35
2.4752475247524752	-40.164131321126064	-0.40569189001128114	10021918123241139e-31	-6995554866189843e-25	4014722658438507e-34
2.5247524752475248	-40.16412410932732	-0.405789207505046	5597099004827243e-31	-6993791274047429e-25	4008538367208779e-34
2.5742574257425743	-40.16411060842336	-0.4057882553872245	-29537552135132585e-31	-6992468160048985e-25	4037495618289558e-34
2.623762376237624	-40.16409206175473	-0.40569627701651556	-2991611223582254e-30	-6991401148690216e-25	11686841409743671e-34
2.6732673267326734	-40.16407005828661	-0.4055334621955696	8094320040657511e-31	-6990347306432915e-25	33496687883704712e-34
2.722772277227723	-40.16404639967395	-0.4053290825474175	-1265172252142452e-31	-6989030360592953e-25	9351373725883765e-33
2.772277227722772	-40.16402295430447	-0.4051165771252945	22281443641295227e-31	-6987167631239986e-25	2549764342919501e-32
2.8217821782178216	-40.164001510321	-0.40492836261784104	12559504673922066e-31	-6984499228135483e-25	6760182784207035e-32
2.871287128712871	-40.16398363936068	-0.4047911324342149	37285987651102474e-32	-6980815315427294e-25	16999110331815425e-32
2.9207920792079207	-40.163970581491455	-0.40472229153275774	20541684493442423e-32	-6975979366716329e-25	4050431303010672e-31
2.9702970297029703	-40.16396315977411	-0.4047279717388659	3623394384546564e-30	-6969941058850211e-25	962389704919817e-30
3.01980198019802	-40.16396173022236	-0.4048028187630859	5660929861473268e-30	-6962737286532032e-25	22762240508079267e-31
3.0693069306930694	-40.16396616990559	-0.4049314759068027	6781382802700291e-30	-6954487322726676e-25	5408318045265108e-30
3.118811881188119	-40.163975902820255	-0.40509144900696364	7693353119178391e-30	-6945379030063694e-25	12659133742742683e-30
3.1683168316831685	-40.16398996017528	-0.4052568553517486	8985287425110722e-30	-6935648273350626e-25	2898873318254813e-29
3.217821782178218	-40.1640070691852	-0.4054024589281802	6635066318208392e-30	-6925553133212957e-25	6437450606529576e-29
3.267326732673267	-40.16402576244765	-0.4055073855319691	62217278620103195e-31	-6915349335569836e-25	13830111614158291e-29
3.3168316831683167	-40.164044498698615	-0.4055579905171035	593278541082142e-29	-6905279084484417e-25	2878874684609399e-28
3.366336633663366	-40.16406178521291	-0.40554950340644325	6442143520420975e-30	-6895550296139049e-25	57498731043339e-26
3.4158415841584158	-40.16407629238155	-0.40548627177583785	7667102516537928e-30	-6886318889746675e-25	11465185485788032e-28
3.4653465346534653	-40.16408695194433	-0.40538064082544656	5836011497172778e-30	-6877688098974461e-25	2290105197410422e-27
3.514851485148515	-40.164093031949704	-0.40525070312147615	30766297662483074e-31	-6869700783357906e-25	4528418293928025e-27
3.5643564356435644	-40.164094183521286	-0.4051173071734935	-21381895578787422e-31	-6862359789295603e-25	8838202238145744e-27
3.613861386138614	-40.16409045683035	-0.4050008034896482	-16322778974852918e-30	-6855683738131618e-25	16928818855321222e-27
3.6633663366336635	-40.164082286056434	-0.40491802242743835	-459009068459646e-28	-6849775429211995e-25	31508570486508944e-27
3.712871287128713	-40.16407044547041	-0.4048799206678736	-10590507562552533e-29	-6844739478617702e-25	57219427256708093e-27
3.762376237623762	-40.16405598088606	-0.40489021421333915	-22193693180847152e-29	-684032880758299e-24	1031880537063412e-25
3.8118811881188117	-40.16404012231909	-0.4049451555938697	-4605821431290817e-28	-6836250809012041e-25	1833848551736734e-25
3.8613861386138613	-40.16402418481925	-0.4050344367124754	-9288131423775034e-28	-6832578463404666e-25	31612815191218324e-26
3.910891089108911	-40.16400946523225	-0.40514303302917537	-18140119645410231e-28	-6829914464124902e-25	5251993576627431e-25
3.9603960396039604	-40.163997143276404	-0.40525367351410135	-33748118670090767e-28	-6828719892138754e-25	8552448902694699e-25
4.00990099009901	-40.16398819388137	-0.4053495418606683	-59485822395706194e-28	-6826723282894512e-25	13680364761053684e-25
4.0594059405940595	-40.163983316946926	-0.4054167971091922	-9967190658079471e-27	-6818238364255013e-25	2162859249737184e-24
4.108910891089109	-40.16398289147281	-0.4054465464688429	-16007147649936867e-27	-6795575007836508e-25	3410011587017493e-24
4.158415841584159	-40.163986954912346	-0.40543600031429056	-24852728869961406e-27	-6751010801487189e-25	53526990143802355e-25
4.207920792079208	-40.163995211260655	-0.4053886726840331	-3759829475433471e-26	-669176904077961e-24	8364117294848264e-24
4.257425742574258	-40.16400706333691	-0.40531363926391073	-55656862247313874e-27	-6637633573225688e-25	12934868130946052e-24
4.306930693069307	-40.16402167381125	-0.40522400569040384	-8058229370830426e-26	-6593646357369064e-25	19875085234266187e-24
4.356435643564357	-40.16403805806208	-0.40513485341637234	-11379348023198468e-26	-6538828787983756e-25	3048320039875448e-23
4.405940594059406	-40.16405518697138	-0.4050609996975135	-15648278699715217e-26	-644579222619575e-24	4650758109345489e-23
4.455445544554456	-40.164072106709284	-0.40501492383744797	-20939390151148474e-26	-630427136786335e-24	7025592806567925e-23
4.5049504950495045	-40.16408807624324	-0.4050051740132657	-27116602483265307e-26	-6149683127830135e-25	1044027824029981e-22
4.554455445544554	-40.16410269785865	-0.40503548307535786	-33097775341993723e-26	-6015848974184331e-25	15252139095214736e-23
4.603960396039604	-40.16411606163112	-0.4051047168120444	-34962165311601774e-26	-5793119507784959e-25	22116685386013052e-23
4.653465346534653	-40.16412890992258	-0.40520766675461706	-22966601364082053e-26	-5307478594161016e-25	3193729099283685e-22
4.702970297029703	-40.16414278597003	-0.4053365586087574	2309514959692466e-25	-4443667175422692e-25	4583167745276088e-22
4.752475247524752	-40.16416019018309	-0.40548304244834993	14137716074955627e-25	-3024049182463836e-25	6529815458087115e-22
4.801980198019802	-40.16418475597718	-0.4056403847705493	3973884030826192e-24	-7649420498073815e-26	9230663888677991e-22
4.851485148514851	-40.16422142645846	-0.40580555978710886	8933743821038282e-24	25702962325660144e-26	12929816760955502e-22
4.900990099009901	-40.16427658069479	-0.4059809487995455	17801061411488015e-24	7103771677079451e-25	17904065921804672e-22
4.9504950495049505	-40.1643580854401	-0.4061754126602576	3279412586195215e-23	12881989252776575e-25	24461538605963674e-22
5	-40.16447537685117	-0.4064046162513876	5720427795149049e-23	1991708285364824e-24	3297482572761432e-21

L= 50  beta= 0.1  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
0.05	-9.811577671016115	-0.09901411469923768	915222029927617e-27	6747726734805877e-40	20361952749273186e-37
0.1	-9.823130811250355	-0.09901876725542019	9091750506531998e-28	6592077114077626e-40	2190591219398925e-34
0.15	-9.845671655730774	-0.09903167026807	8930210351442895e-28	6336469238198046e-40	13294490908789496e-35
0.2	-9.88479409559234	-0.09906125347238226	8753395076743421e-28	598138250656648e-39	19184411996842355e-37
0.25	-9.944841360184	-0.09912128763627381	8458193246434514e-28	55537968872696415e-41	10197259591408237e-35
0.3	-10.02557340172433	-0.09923130949441109	8089079528893149e-28	5045247805505758e-40	28734112759025724e-35
0.35	-10.119066566042605	-0.0994146356827197	7685364750186301e-28	448025335050093e-39	6914921858397161e-35
0.4	-10.20918138438309	-0.09969300155238033	7204103149921128e-28	3875784344497118e-40	8610207937439013e-35
0.45	-10.275312202033641	-0.10007830801900316	6667865470141519e-28	32556080926918783e-41	26320418179671e-32
0.5	-10.299736191305502	-0.10056400329087271	6094524977308728e-28	259169333840939e-39	15918819728673623e-35
0.55	-10.275127485326568	-0.10111995259039148	549641814419105e-27	19671208509170009e-41	13605394454934167e-35
0.6	-10.20796011595225	-0.10169394111991573	488918723699485e-27	1385366930148616e-40	1119383035624904e-34
0.65	-10.115676920136774	-0.10222021059835606	4295103742886805e-28	881539345192303e-40	35571575492954406e-35
0.7	-10.019290947015694	-0.10263229893521804	3728745197426292e-28	47781740684177616e-42	5475834083960306e-35
0.75	-9.935674392624405	-0.10287590717259057	3169341205800439e-28	12917158798616334e-42	3671933698399818e-34
0.8	-9.873336142653772	-0.10291818925249191	2654305888444974e-28	-14480085798264934e-42	40889691518759353e-35
0.85	-9.832720449330422	-0.10275182704331405	21730666376790385e-29	-35703414170967057e-42	16917915991134805e-35
0.9	-9.809370197051546	-0.10239415914225242	17180482388490557e-29	-5129469201603272e-41	28673069586256065e-35
0.95	-9.797452200595627	-0.10188270742628877	13102428925150588e-29	-6225879562647045e-41	3437602448059056e-34
1	-9.792029709515443	-0.10126867525513264	9622311319452167e-29	-6922817928970013e-41	32867302951018086e-35
1.05	-9.789824994153435	-0.10060974139738965	6579644658026415e-29	-737692855878387e-40	2813256393374934e-34
1.1	-9.789023651555148	-0.09996310510456213	37087960211679696e-30	-7619166605682448e-41	2972518554838887e-34
1.15	-9.78876432859906	-0.09937943788486872	19654747908885297e-30	-7705935594951997e-41	292536601824944e-33
1.2	-9.788690681958755	-0.09889819434104698	10074698864899703e-31	-7724704752377516e-41	24030319324929105e-35
1.25	-9.78867290463031	-0.09854458073545133	-1245698988845386e-29	-7699857212618494e-41	1934875134352321e-34
1.3	-9.788669063100158	-0.09832832698535902	-20573736857402445e-30	-7675616932917732e-41	29644941144430333e-35
1.35	-9.788667120557928	-0.09824423765957241	-257566769342156e-28	-7652708281978641e-41	25044652993961844e-35
1.4	-9.788664089583392	-0.09827432137153555	-2695540383737666e-29	-7633027361588549e-41	30149868909666946e-35
1.45	-9.788659488461713	-0.09839114035282714	-26811128095112234e-30	-763030549814082e-40	38145153547893985e-35
1.5	-9.788653521898402	-0.09856190710285463	-26061286913474675e-30	-7623823644771524e-41	38476624125979203e-35
1.55	-9.78864661561418	-0.09875279918100704	-2320343879559541e-29	-7622601855601926e-41	33974249479810113e-35
1.6	-9.788639287764191	-0.09893297270374024	-18892924898710117e-30	-7628118264541228e-41	4101487773111895e-34
1.65	-9.788632091613199	-0.0990778264922679	-1527054739747921e-29	-7632044009142873e-41	37450407439331965e-35
1.7	-9.788625570542196	-0.09917119045921283	-9150167137120953e-30	-7632920433317989e-41	41427110167163253e-35
1.75	-9.788620216083032	-0.09920626608851615	-4498898585705296e-30	-7628317159127865e-41	3812872390315748e-34
1.8	-9.788616430070297	-0.0991853127512268	-6364626793871114e-31	-762055150882865e-40	42868378641235945e-35
1.85	-9.788614493682736	-0.09911822962425255	5209141825316478e-30	-7611902027124978e-41	33722072164148064e-35
1.9	-9.78861454592841	-0.09902030996410813	8716463505201104e-30	-7601059719052324e-41	2966170008030338e-34
1.95	-9.788616573402393	-0.09890952794582117	12513788345392411e-30	-7589305514741864e-41	4041311421771925e-34
2	-9.788620412206098	-0.09880375007603853	14488139333071785e-30	-7578427395192808e-41	39645390959392556e-35
2.05	-9.788625761890287	-0.09871824231620754	1585736370823649e-29	-7568677659554039e-41	40946250105064753e-35
2.1	-9.788632210253072	-0.09866377640924051	1588279800568537e-29	-7557262998648046e-41	37677189302224517e-35
2.15	-9.788639266905719	-0.09864553620056019	18432709367539274e-30	-7548769566344256e-41	3643631936935362e-34
2.2	-9.78864640277667	-0.0986629026663065	19089627166959332e-30	-7540775077797206e-41	39245360789659004e-35
2.25	-9.788653092240327	-0.09871007228925383	2010994050742694e-29	-752956409489251e-40	39197269534105867e-35
2.3	-9.788658854362357	-0.0987773540316896	21726704371948642e-30	-752625784535216e-40	35688882937118765e-35
2.35	-9.788663289873266	-0.098852909214486	208548939745255e-28	-7526779296627383e-41	3904449735449254e-34
2.4	-9.788666110890262	-0.09892465528310615	1890246568246844e-29	-7508837592051436e-41	3711366726703473e-34
2.45	-9.788667161069998	-0.09898205227243115	1686442958860079e-29	-7499622299187249e-41	4188526461018111e-34
2.5	-9.788666424731897	-0.09901752751673389	16025893651903352e-30	-7506509612605238e-41	3903936035237017e-34
2.55	-9.788664024442784	-0.09902736233630392	15361827685757015e-30	-751251031095428e-40	6502752763474702e-34
2.6	-9.78866020754385	-0.0990119527118899	15214081595119364e-30	-7514474923743265e-41	18169842234671554e-34
2.65	-9.788655323009134	-0.09897545083758993	1392557667842419e-29	-7513109578104882e-41	5074685020232095e-33
2.7	-9.788649790795844	-0.09892488226796178	13080878073577652e-30	-7510652246082628e-41	1404361237971428e-32
2.75	-9.78864406640755	-0.09886890223608563	12398770093542192e-30	-7510446438904609e-41	3835523304721784e-32
2.8	-9.78863860370739	-0.0988163960229829	13427558541709317e-30	-7511200608366375e-41	103174535118468e-30
2.85	-9.788633819056919	-0.09877513776020967	12482066322985063e-30	-7507550757323046e-41	2731640948592171e-31
2.9	-9.788630059648748	-0.09875070022634586	1361097219424395e-29	-7499469141245772e-41	712039683481761e-30
2.95	-9.78862757844858	-0.09874575994934288	14125658519696053e-30	-7490767491493155e-41	18280327284797157e-31
3	-9.788626517534617	-0.09875987564603825	14294017724501194e-30	-7481512824862166e-41	4623790218258511e-30
3.05	-9.78862690087212	-0.09878974424508152	15521364448524904e-30	-7470588670323838e-41	11523858428258756e-30
3.1	-9.788628636751806	-0.09882986850301126	16308379061660095e-30	-7455694693855677e-41	2829608367692047e-29
3.15	-9.788631529336564	-0.09887351350732315	1764895532029897e-29	-744107579258809e-40	6842512447124661e-29
3.2	-9.788635298050346	-0.09891379367798528	19066150671159523e-30	-7427666583409806e-41	1628553430551119e-28
3.25	-9.788639602970491	-0.09894472132232916	19342992219028348e-30	-7411137046695004e-41	3811994250639817e-28
3.3	-9.788644073985612	-0.09896206261230124	1997045235274953e-29	-7389521767976627e-41	8767876683052203e-28
3.35	-9.78864834127756	-0.09896388358164387	18755155284071622e-30	-7361924980516679e-41	19799230187332082e-28
3.4	-9.788652064684307	-0.09895072090187873	20157268140386708e-30	-732436576605214e-40	4385807638869651e-27
3.45	-9.788654959692295	-0.09892537136456872	1938751210552546e-29	-7276937848800986e-41	9522823954844939e-27
3.5	-9.788656818163076	-0.09889235112185865	1939957558763669e-29	-7212282844345788e-41	20253421251992258e-27
3.55	-9.788657522383641	-0.09885712249007692	18973361807425164e-30	-7122189139490501e-41	4216512101733939e-26
3.6	-9.788657051609942	-0.09882521608579198	1958626732003423e-29	-700463509980852e-40	8583961807201024e-26
3.65	-9.788655480883584	-0.09880138559016304	1961887251346402e-29	-6858827278551954e-41	17036607811569755e-26
3.7	-9.78865297252774	-0.09878892105818597	1999677667991603e-29	-6715213691211344e-41	3258490564265088e-25
3.75	-9.788649761329648	-0.09878921704155375	20113743806372965e-30	-6867062563225794e-41	5829387091885157e-25
3.8	-9.788646134750245	-0.09880164907295812	2011011779039059e-29	-10534062692635326e-41	9689945937746342e-25
3.85	-9.788642409361255	-0.09882376328124749	2006364389882183e-29	-3105582065738952e-40	16238598822743504e-25
3.9	-9.78863890607639	-0.0988517368377915	19892883457369722e-30	-1155134875236998e-39	2712622163789981e-24
3.95	-9.788635924432931	-0.09888102783031752	19713670003505705e-30	-2980073877596233e-39	4276168797861208e-24
4	-9.788633724371621	-0.09890710804014538	19968362618533448e-30	-342454842296421e-38	6603422436053143e-24
4.05	-9.788632517542176	-0.09892616492678932	2026084514881329e-29	-24873099173405327e-42	1034657889273272e-23
4.1	-9.788632445318209	-0.09893566848957798	20498733913658115e-30	8663186775455141e-39	15317337852956125e-24
4.15	-9.788633545740634	-0.09893472154322176	21094950986493928e-30	51642510181021946e-40	202725489873847e-22
4.2	-9.788635737334449	-0.09892414938855856	2197445173561735e-29	-4629737892572633e-39	26637951723005385e-24
4.25	-9.788638821387469	-0.09890633073163907	22777980090654055e-30	-5148522947379808e-39	3484316775944033e-23
4.3	-9.788642491368936	-0.09888480441754167	24477361720324482e-30	-18009349456091905e-39	4583675090019537e-23
4.35	-9.788646543569353	-0.09886372685759465	27320516059283057e-30	-23719641627735046e-39	6652718417747962e-23
4.4	-9.788650878117064	-0.09884727581648314	31676267423473844e-30	-47736955773889515e-39	10408085550815091e-23
4.45	-9.788655412040653	-0.0988390981917808	3691705899442195e-29	-8366807090135252e-38	16663766706234032e-23
4.5	-9.788660147137191	-0.09884189416551106	4429708103042423e-29	-12778241078522829e-38	2670590817656185e-22
4.55	-9.788665262993078	-0.09885720795765784	5373045407957055e-29	-18768913538043797e-38	42496130185112006e-23
4.6	-9.788671212725967	-0.09888546458548902	6477391698876379e-29	-2933040179858442e-37	6689021100154401e-22
4.65	-9.788678839378179	-0.09892625607756385	7900032007976897e-29	-5430845044902273e-37	10388900336618515e-22
4.7	-9.788689528874684	-0.09897884507533455	9541256961977763e-29	-12895103044744479e-37	15888052400652962e-22
4.75	-9.788705405107972	-0.09904282297970066	11602280371722113e-29	-3904300132499088e-36	23886507254977267e-22
4.8	-9.788729639501277	-0.09911883538121212	14281714724745588e-29	-13861155989174428e-36	3520743490539324e-21
4.85	-9.788767075814272	-0.0992092672058919	17885790175687377e-29	-4901730679668199e-35	5067033831364741e-21
4.9	-9.788824839655453	-0.09931876982666776	2316743104952861e-28	-18374062597856051e-35	7118607738582624e-21
4.95	-9.788911850788075	-0.09945456948325901	3126215001053681e-28	-1817444177827669e-33	9824187887807917e-21
5	-9.789038158914842	-0.09962660812318719	4362264679420361e-28	-1423841667838183e-32	13361184117814925e-21

L= 50  beta= 0.01  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
0.05	-0.9907725952407063	-0.009999097073406467	-6476869429021232e-28	4065906907136478e-40	49083874640389996e-40
0.1	-0.9919391530576191	-0.00999956362179145	-6382435036959559e-28	3999937021065722e-40	47223262709160006e-36
0.15	-0.9942151750523707	-0.010000859633404215	-6273232079969584e-28	3885115881494303e-40	32124255901588637e-35
0.2	-0.9981654919346474	-0.010003833760285435	-6135595216467316e-28	37089309801052804e-41	10379530036069673e-37
0.25	-1.00422864540558	-0.010009872133120927	-5944870979561e-25	3490959209872042e-40	7121839428927673e-35
0.3	-1.0123803795154593	-0.010020940930025812	-5718820283440533e-28	32400219065634105e-41	2215267415888835e-34
0.35	-1.0218205924659929	-0.010039386198548137	-5419934482203243e-28	29345740201916185e-41	559923779717825e-34
0.4	-1.0309196163312628	-0.010067393930724852	-5110372120610472e-28	2597739252054421e-40	7421632650893783e-35
0.45	-1.0375968671299662	-0.010106159131641729	-4766733450470337e-28	22599186183629236e-41	23473476130112024e-35
0.5	-1.040062931518026	-0.01015501838549819	-4409326600431657e-28	19271823513904308e-41	1452034371526997e-34
0.55	-1.0375782739410258	-0.010210933902555674	-39961065948120544e-29	16064430590264464e-41	1281670585676284e-34
0.6	-1.030796749971024	-0.010268645652276018	-3582550408956958e-28	13187156225955683e-41	1041852235603162e-34
0.65	-1.0214796302500067	-0.010321531710431637	-31876338389407746e-29	10518812561842434e-41	33948686658154688e-35
0.7	-1.0117485056196796	-0.010362901699567478	-2798796418229919e-28	8130712052207228e-41	52785064697340044e-36
0.75	-1.0033067558430835	-0.01038729266446182	-24313441166006657e-29	6158832140984365e-41	4370701279318381e-34
0.8	-0.997013326557258	-0.010391404418265054	-20956623042423896e-29	45418867973016864e-42	40292230197456114e-35
0.85	-0.9929129739105643	-0.010374509479769438	-17590964821511958e-29	3284271467216086e-41	16630879671428798e-35
0.9	-0.9905556683891962	-0.010338364646667902	-14548927693173396e-29	23346510935031743e-42	4341133257056576e-34
0.95	-0.9893524983769049	-0.010286759551977054	-11897210260171665e-29	16064373222553227e-42	3447790543422708e-34
1	-0.9888050736872585	-0.01022486075705667	-9744469963599406e-29	10777038330710208e-42	3295562221250677e-34
1.05	-0.9885824960857171	-0.010158484849161218	-7657415004839977e-29	7082156527270896e-42	2809119414652648e-34
1.1	-0.9885015958608725	-0.010093396937405632	-5963556801553494e-29	4800819663560103e-42	30165843370884145e-35
1.15	-0.9884754161159522	-0.010034700746076052	-46482333944311006e-30	29430585950090686e-43	2930602807433985e-34
1.2	-0.9884679820879569	-0.009986366003456546	-3566383753567723e-29	17588780229993982e-43	24675925046754724e-35
1.25	-0.9884661887638345	-0.009950923281574858	-25816275558431397e-30	10291260187373594e-43	1955446641706664e-34
1.3	-0.9884658024867793	-0.009929340964703635	-18455788335995952e-30	5423665136484439e-43	30606500551486775e-35
1.35	-0.98846560792669	-0.009921081819942768	-10458944317625497e-30	24041856635096254e-44	2627363153448898e-34
1.4	-0.988465303392986	-0.009924318841023558	-7059494543478001e-30	846589399083431e-43	30520782460834483e-35
1.45	-0.9884648401845535	-0.009936274121771574	-30244213648833102e-31	17276637098595903e-45	389842927695544e-33
1.5	-0.9884642389115978	-0.00995363292609125	4102407897890097e-31	-19302498286664548e-45	34893688167558984e-35
1.55	-0.9884635425083713	-0.0099729795040916	4220809033736931e-30	-16242906056874708e-45	3579926640484784e-34
1.6	-0.9884628032533073	-0.00999120218925504	7617417331986017e-30	27068575350718345e-45	4276897006395135e-34
1.65	-0.9884620769835227	-0.010005822548950154	10493813010530892e-30	8429476199340324e-44	33153995622694167e-35
1.7	-0.988461418554051	-0.0100152156724975	12740769033637532e-30	17799105194323098e-44	43409701405276825e-35
1.75	-0.9884608776013684	-0.010018704283057739	1329241260537024e-29	2355640910376963e-43	40271460158820495e-35
1.8	-0.9884604947222462	-0.010016526128137294	1542778014869531e-29	31685470802360524e-44	3178522900775523e-34
1.85	-0.9884602983474043	-0.010009689866584558	17631136778802304e-30	4485112803116169e-43	3516462722464967e-34
1.9	-0.9884603025671628	-0.009999747490022082	1940985009495588e-29	5556475098400129e-43	30951583520528626e-35
1.95	-0.9884605060947309	-0.009988519731127585	21875322661710203e-30	5510254070072161e-43	42184245985568994e-35
2	-0.9884608924565687	-0.009977814100136696	20886671978484434e-30	5571129896047365e-43	4238925343335734e-34
2.05	-0.9884614313958457	-0.009969173054880685	20954788286774647e-30	5965485699013266e-43	4269881087972461e-34
2.1	-0.9884620813718764	-0.009963682947924324	22145813568328215e-30	598411581252924e-42	4046330573139247e-34
2.15	-0.9884627929441061	-0.009961863993214377	22667651836652547e-30	594556840505568e-42	39233046801808974e-35
2.2	-0.9884635127562023	-0.009963649141510093	2214706473411713e-29	6438993466750334e-43	4110825604405131e-34
2.25	-0.9884641877855079	-0.009968447207018831	23420315977218716e-30	6600632751432577e-43	42499917248553014e-35
2.3	-0.9884647695038117	-0.009975274533021803	24213820117646492e-30	6293498803720327e-43	38094654375247645e-35
2.35	-0.9884652176081747	-0.009982931313249475	23440455960232486e-30	6529819082560407e-43	42143338591110285e-35
2.4	-0.9884655030203064	-0.009990194322706265	2447057173481513e-29	6739783396063159e-43	40141530225946237e-35
2.45	-0.9884656099216901	-0.009995997613280827	2443997247817051e-29	6694916582722355e-43	41652583194329487e-35
2.5	-0.988465536676149	-0.009999576464862046	2600316705536786e-29	6098995417511973e-43	41801582006385195e-35
2.55	-0.9884652955890783	-0.010000556796025677	25093234754768718e-30	59936737097701894e-44	6742918783500881e-34
2.6	-0.9884649115512848	-0.009998981179205653	24764720115109778e-30	6020533679254006e-43	1890633501199378e-33
2.65	-0.9884644197079168	-0.00999527220754043	23786534649235123e-30	5498894960460162e-43	53083379378060295e-34
2.7	-0.9884638623697297	-0.009990142842999455	23081793352193887e-30	5324941283321973e-43	1475214591540437e-32
2.75	-0.9884632854416413	-0.00998447033377441	23291096261225873e-30	513590297257392e-42	40425005738964606e-33
2.8	-0.9884627346742167	-0.00997915445511845	22347957285978464e-30	4769225478707025e-43	10903728783272524e-32
2.85	-0.9884622520484814	-0.009974981774337489	23388803727086075e-30	4449475556622409e-43	2893174172977723e-31
2.9	-0.9884618725830568	-0.009972515417821438	23610002970867707e-30	4484273170018316e-43	7554876559288085e-31
2.95	-0.9884616218073248	-0.009972024923027852	23437717157129433e-30	4642344277693425e-43	19424221246195345e-31
3	-0.9884615140806083	-0.00997346404219076	23571479968306755e-30	4902014511591611e-43	4919148180576723e-30
3.05	-0.9884615518621095	-0.00997649689341715	25168175041768335e-30	500755257978603e-42	12272762129303492e-30
3.1	-0.9884617259546481	-0.009980565747505494	2541098252749445e-29	5117555707255312e-43	3016226550965944e-29
3.15	-0.9884620166665807	-0.009984988004079227	25762928507567115e-30	5418441467454873e-43	7299677337078678e-29
3.2	-0.9884623957633747	-0.009989066307798502	26342275971132303e-30	580721289429198e-42	1738647514538231e-28
3.25	-0.988462829024763	-0.009992194697444914	265706548322578e-28	6035151126330748e-43	40725431888089565e-29
3.3	-0.9884632791814162	-0.00999394519076983	2673720668635144e-29	6334022550010822e-43	9373540807129366e-28
3.35	-0.9884637089852435	-0.009994122934980455	2756366711545844e-29	6416736364543166e-43	21181310840240483e-28
3.4	-0.988464084167088	-0.009992783339391229	28309869893407896e-30	6564677318849952e-43	4695213294876661e-27
3.45	-0.9884643760555105	-0.009990210599509022	27630116985405132e-30	6692606501516333e-43	10201991144067945e-27
3.5	-0.9884645636653254	-0.009986862804179144	27754245248551215e-30	6919158116422913e-43	21714653458680144e-27
3.55	-0.9884646351143209	-0.009983293546740131	28101708664309102e-30	707485142136415e-42	4524725291899428e-26
3.6	-0.9884645882840146	-0.009980062988455341	28211300345875975e-30	697522130730753e-42	9222987292649212e-26
3.65	-0.9884644307029975	-0.009977652279470131	27913905045058746e-30	6802536478822446e-43	18357132462951648e-26
3.7	-0.9884641786940132	-0.009976394082855536	27724046790193466e-30	7000660541575553e-43	35443514917406385e-26
3.75	-0.9884638558903632	-0.009976428939667508	2801497140485582e-29	6988225678258483e-43	6510321305998091e-25
3.8	-0.988463491286288	-0.009977692885403226	27892132213813778e-30	7103749238217154e-43	1113361820022048e-24
3.85	-0.9884631169226817	-0.009979936782582516	27979220619151684e-30	7234318271249337e-43	1866700665009801e-24
3.9	-0.9884627654323221	-0.009982773066413923	27972531554818574e-30	7075759878921273e-43	32063929320619377e-25
3.95	-0.9884624678228764	-0.009985741687189662	2796230963004795e-29	56193855136318285e-44	5506600366881813e-24
4	-0.9884622508019454	-0.009988384481806957	28502374931098516e-30	4686051945898979e-43	9038184048372811e-24
4.05	-0.9884621336255379	-0.009990316359344872	294095449798111e-28	4224754541531066e-42	13549216461705444e-24
4.1	-0.9884621323510004	-0.009991282649143753	3063305556182232e-29	9663600611388537e-42	20398064211247038e-24
4.15	-0.9884622597622367	-0.00999119485870751	3294645731326845e-29	-12466662607668372e-41	3116741284884943e-23
4.2	-0.9884625207981462	-0.009990140521109882	37214154005749897e-30	-15084798987817136e-40	4430806011204974e-23
4.25	-0.9884628862724917	-0.009988365774504439	4391375088878476e-29	-63224276676434805e-40	5768766391579125e-23
4.3	-0.9884633027780577	-0.00998623535898402	5337175524527606e-29	-13305124830954228e-39	7222790028579112e-23
4.35	-0.9884637526342361	-0.00998417723231632	6696537626299676e-29	-15757072140088905e-39	8508541925586692e-23
4.4	-0.98846421591788	-0.009982617891707119	8508020192098775e-29	-114333488848934e-37	11432837324625571e-23
4.45	-0.9884646937837567	-0.009981926635647342	10810077461984256e-29	-5733869484254784e-39	1753940087470728e-22
4.5	-0.9884651956087289	-0.009982374613457391	13545523055132719e-29	-12313676837265482e-40	27822522779175105e-23
