L= 50  beta= 1.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
2.15	-55.391029334089	-0.5568978952541155	6242023296355349e-29	-22668236240507578e-21	4063638653847901e-34
2.2	-55.39107199338375	-0.5569387506322336	6463614908060189e-29	-2265114398474312e-20	40034967743680126e-35
2.25	-55.3911117387936	-0.5571334309581056	6507877800565089e-29	-22634485799907077e-21	4014757405051451e-34
2.3	-55.39114571128937	-0.5574384549834819	6497498767049203e-29	-22618564117775556e-21	37352024775246028e-35
2.35	-55.39117155027489	-0.5577976143266787	591714448706232e-28	-2260377159524622e-20	38608940033617435e-35
2.4	-55.39118756938082	-0.5581513332686484	5753723201823348e-29	-22590492775763634e-21	38227711845437717e-35
2.45	-55.39119287530784	-0.5584457554458628	6252402160464646e-29	-22579007188603704e-21	4099063240051109e-34
2.5	-55.39118742094854	-0.5586402729515805	5953361583007841e-29	-22569410324435257e-21	41459387706797772e-35
2.55	-55.39117198967648	-0.5587125310124903	55843823421291953e-30	-2256156329330477e-20	4084864679586899e-34
2.6	-55.39114811350865	-0.5586603723909459	5918432993581683e-29	-22555079260928604e-21	3940299754573639e-34
2.65	-55.39111793326687	-0.558500662506652	5737182003616188e-29	-22549347408285445e-21	40369061749492884e-35
2.7	-55.39108401349266	-0.558265389165002	6597659566029077e-29	-2254359066543414e-20	4066319854945426e-34
2.75	-55.391049128317654	-0.557995797397373	7009371280283522e-29	-22536947967809935e-21	9221540492516192e-34
2.8	-55.3910160363893	-0.5577355537123903	7230481777274322e-29	-22528569776801974e-21	25916902351542502e-34
2.85	-55.39098726343215	-0.5575240099242634	7276845650301591e-29	-22517712644444312e-21	7069300230890023e-33
2.9	-55.390964909721234	-0.5573905533736558	7239350720451843e-29	-22503820581021604e-21	18440418459006372e-33
2.95	-55.390950497293915	-0.557350809226848	7710473156220116e-29	-22486582688095346e-21	4675347084887813e-32
3	-55.390944867912275	-0.5574051415318654	7773082612955954e-29	-2246596048136896e-20	11595857770641702e-32
3.05	-55.3909481383718	-0.5575395345529405	798689185534801e-28	-2244218260695378e-20	2745743726498841e-31
3.1	-55.39095971484562	-0.5577285801275301	8167804370947784e-29	-22415710040854652e-21	643290595995948e-30
3.15	-55.3909783631894	-0.5579400015817348	8031804591530044e-29	-2238717686425708e-20	13944309889752778e-31
3.2	-55.3910023277309	-0.5581399497977098	8458210294540278e-29	-2235731799217914e-20	30765421387328516e-31
3.25	-55.39102948749675	-0.5582982354184054	8441842568680715e-29	-22326890488830937e-21	6707112708891189e-30
3.3	-55.39105753624946	-0.5583927168251519	832965102193781e-28	-22296604918353992e-21	14262232000166537e-30
3.35	-55.39108417133793	-0.5584122315917375	8224578617709987e-29	-22267071354724543e-21	2863645331305836e-29
3.4	-55.39110727623371	-0.5583577090679261	7069754734433976e-29	-22238761510788475e-21	54456911807489474e-30
