
# L= 80  beta= [2.0]  t_max= 30.0  steps= 2000,D= [60] #
t 	 E 	 mag
2.94	-76.86015609608835	-0.11431992221591486
2.955	-76.86015566328219	-0.11478497780506536
2.97	-76.8601552320351	-0.11523642180698743
2.985	-76.86015480240218	-0.11567263711363222
3	-76.86015437445748	-0.11609206556884952
3.015	-76.86015394829386	-0.11649321356104761
3.03	-76.86015352402158	-0.11687465736686796
3.045	-76.86015310176826	-0.11723504822665945
3.06	-76.86015268168123	-0.1175731171335615
3.075	-76.86015226392247	-0.11788767931908237
3.09	-76.860151848671	-0.11817763841926916
3.105	-76.86015143611824	-0.1184419903067318
3.12	-76.86015102647512	-0.11867982657510116
3.135	-76.86015061996149	-0.11889033766374046
3.15	-76.86015021681246	-0.11907281561202138
3.165	-76.86014981727307	-0.11922665643371574
3.18	-76.86014942160001	-0.11935136210361022
3.195	-76.86014903005793	-0.11944654214982084
3.21	-76.86014864292045	-0.11951191484682347
3.225	-76.86014826046778	-0.11954730800566107
3.24	-76.86014788298495	-0.11955265935930473
3.255	-76.86014751076249	-0.1195280165426738
3.27	-76.86014714409227	-0.1194735366682762
3.285	-76.86014678326862	-0.1193894854999836
3.3	-76.86014642858542	-0.11927623622888972
3.315	-76.86014608033652	-0.11913426785670067
3.33	-76.86014573881094	-0.11896416319352704
3.345	-76.86014540429636	-0.11876660647838995
3.36	-76.86014507707213	-0.11854238063208006
3.375	-76.86014475741332	-0.1182923641534225
3.39	-76.86014444558639	-0.11801752767122282
3.405	-76.86014414184712	-0.11771893016547126
3.42	-76.8601438464437	-0.11739771487254819
3.435	-76.86014355960877	-0.1170551048903119
3.45	-76.86014328156443	-0.1166923985000474
3.465	-76.86014301251882	-0.11631096422322641
3.48	-76.8601427526642	-0.11591223563199633
3.495	-76.86014250217693	-0.11549770593317366
3.51	-76.86014226121632	-0.11506892234631241
3.525	-76.86014202992392	-0.11462748029711822
3.54	-76.86014180842264	-0.11417501744812272
3.555	-76.86014159681704	-0.11371320758907666
3.57	-76.86014139518899	-0.11324375440997977
3.585	-76.86014120360244	-0.11276838518006618
3.6	-76.86014102209921	-0.11228884435629422
3.615	-76.8601408506997	-0.11180688714517016
3.63	-76.86014068940291	-0.11132427304178238
3.645	-76.86014053818583	-0.1108427593699717
3.66	-76.86014039700446	-0.11036409484750034
3.675	-76.86014026579032	-0.10989001319990871
3.69	-76.8601401444561	-0.10942222684653646
3.705	-76.8601400328904	-0.10896242068180227
3.72	-76.86013993096076	-0.10851224597448915
3.735	-76.86013983851458	-0.10807331440722653
3.75	-76.86013975537712	-0.10764719227780337
3.765	-76.86013968135492	-0.1072353948832993
3.78	-76.86013961623223	-0.10683938110725553
3.795	-76.86013955977867	-0.10646054822933168
3.81	-76.86013951173975	-0.10610022697599218
3.825	-76.86013947184934	-0.10575967682982663
3.84	-76.86013943981989	-0.10544008161409829
3.855	-76.86013941535279	-0.10514254536807704
3.87	-76.86013939813101	-0.10486808852752466
3.885	-76.86013938782548	-0.10461764442360597
3.9	-76.86013938409486	-0.10439205611223085
3.915	-76.86013938658692	-0.10419207354456342
3.93	-76.86013939493765	-0.10401835108820098
3.945	-76.86013940877758	-0.10387144540713561
3.96	-76.86013942772665	-0.10375181370726048
3.975	-76.86013945139966	-0.10365981235286602
3.99	-76.86013947940755	-0.10359569585810804
4.005	-76.86013951135631	-0.10355961625606794
4.02	-76.86013954685055	-0.10355162284661756
4.035	-76.86013958549545	-0.10357166232287172
4.05	-76.86013962689371	-0.10361957927461596
4.065	-76.86013967065402	-0.10369511706574058
4.08	-76.86013971638477	-0.10379791908125216
4.095	-76.86013976370138	-0.10392753033817562
4.11	-76.86013981222492	-0.10408339945324374
4.125	-76.86013986158413	-0.10426488095903307
4.14	-76.86013991141438	-0.1044712379588825
4.155	-76.86013996136357	-0.10470164510977101
4.17	-76.86014001108879	-0.10495519192107089
4.185	-76.86014006025968	-0.10523088635603749
4.2	-76.86014010856053	-0.10552765872175518
4.215	-76.86014015568705	-0.10584436583225998
4.23	-76.86014020135306	-0.10617979542861475
4.245	-76.86014024528657	-0.10653267083876036
4.26	-76.8601402872338	-0.10690165585919884
4.275	-76.86014032695782	-0.10728535983971965
4.29	-76.86014036424102	-0.1076823429517781
4.305	-76.86014039888339	-0.10809112162045073
4.32	-76.86014043070672	-0.10851017409937648
4.335	-76.86014045955066	-0.10893794616762872
4.35	-76.86014048527815	-0.10937285692708662
4.365	-76.86014050776967	-0.10981330467855213
4.38	-76.86014052692911	-0.1102576728546814
4.395	-76.8601405426813	-0.11070433598760124
4.41	-76.8601405549711	-0.11115166568909311
4.425	-76.86014056376625	-0.11159803662121001
4.44	-76.86014056905435	-0.11204183243531422
4.455	-76.86014057084498	-0.11248145165773393
4.47	-76.86014056916822	-0.11291531350048481
4.485	-76.86014056407441	-0.1133418635758669
4.5	-76.8601405556337	-0.11375957949418267
4.515	-76.86014054393725	-0.11416697632431429
4.53	-76.86014052909341	-0.11456261189749337
4.545	-76.8601405112302	-0.11494509193523234
4.56	-76.86014049049238	-0.11531307498311326
4.575	-76.86014046704373	-0.11566527713292726
4.59	-76.86014044106263	-0.11600047651646431
4.605	-76.86014041274227	-0.11631751755521835
4.62	-76.8601403822926	-0.11661531495119296
4.635	-76.8601403499364	-0.11689285740500341
4.65	-76.86014031590707	-0.11714921104855652
4.665	-76.8601402804528	-0.1173835225807019
4.68	-76.86014024382966	-0.11759502209533675
4.695	-76.86014020630518	-0.11778302559269663
4.71	-76.86014016815503	-0.11794693716571275
4.725	-76.86014012966064	-0.11808625085459956
4.74	-76.86014009111096	-0.11820055216405345
4.755	-76.86014005280066	-0.11828951923874809
4.77	-76.86014001502598	-0.11835292369405473
4.785	-76.86013997808902	-0.11839063110025996
4.8	-76.86013994229114	-0.11840260111978554
4.815	-76.86013990793526	-0.1183888872982521
4.83	-76.86013987532273	-0.11834963651147418
4.845	-76.86013984475628	-0.11828508807176641
4.86	-76.86013981653134	-0.11819557249815921
4.875	-76.86013979094494	-0.11808150995640879
4.89	-76.86013976828461	-0.11794340837579181
4.905	-76.86013974883487	-0.11778186125095669
4.92	-76.86013973287294	-0.11759754513815464
4.935	-76.86013972067069	-0.11739121685629895
4.95	-76.86013971248796	-0.11716371040435683
4.965	-76.8601397085791	-0.11691593360759531
4.98	-76.86013970918638	-0.11664886450610398
4.995	-76.86013971454275	-0.11636354750000244
5.01	-76.8601397248714	-0.11606108926649616
5.025	-76.86013974038167	-0.11574265446479254
5.04	-76.86013976127185	-0.11540946124558413
5.055	-76.86013978772918	-0.11506277658245807
5.07	-76.86013981992575	-0.11470391144318713
5.085	-76.86013985802285	-0.1143342158193804
5.1	-76.86013990216742	-0.1139550736333989
5.115	-76.86013995249301	-0.11356789754186107
5.13	-76.86014000911993	-0.11317412365530272
5.145	-76.86014007215505	-0.11277520619384607
5.16	-76.86014014169214	-0.11237261209884028
5.175	-76.86014021781027	-0.11196781562053862
5.19	-76.86014030057696	-0.11156229290188353
5.205	-76.86014039004503	-0.1111575165783653
5.22	-76.8601404862574	-0.11075495041383063
5.235	-76.86014058924111	-0.11035604399183105
5.25	-76.86014069901286	-0.10996222748188217
5.265	-76.86014081557974	-0.10957490649958337
5.28	-76.86014093893532	-0.10919545707913958
5.295	-76.86014106906211	-0.10882522077634026
5.31	-76.86014120593617	-0.1084654999194834
5.325	-76.86014134952117	-0.10811755302506297
5.34	-76.86014149977298	-0.10778259039444528
5.355	-76.86014165664116	-0.10746176990691136
5.37	-76.86014182006531	-0.10715619302372256
5.385	-76.86014198997971	-0.10686690101699295
5.4	-76.8601421663151	-0.10659487143624001
5.415	-76.86014234899345	-0.10634101482457456
5.43	-76.86014253793641	-0.10610617169550214
5.445	-76.86014273305882	-0.10589110978027332
5.46	-76.86014293427574	-0.10569652155471114
5.475	-76.86014314149878	-0.10552302205331679
5.49	-76.86014335463977	-0.10537114697741032
5.505	-76.86014357360916	-0.10524135110289703
5.52	-76.86014379831884	-0.1051340069921323
5.535	-76.86014402868108	-0.10504940401321905
5.55	-76.86014426461156	-0.10498774766889443
5.565	-76.86014450602892	-0.10494915923603511
5.58	-76.86014475285387	-0.10493367571561359
5.595	-76.8601450050107	-0.10494125009184611
5.61	-76.86014526242974	-0.1049717518980781
5.625	-76.86014552504793	-0.10502496808585955
5.64	-76.86014579280389	-0.10510060419254098
5.655	-76.86014606564622	-0.10519828580167054
5.67	-76.86014634352898	-0.10531756028936005
5.685	-76.86014662641281	-0.10545789884881444
5.7	-76.86014691426547	-0.10561869878420473
5.715	-76.86014720706453	-0.10579928606410632
5.73	-76.86014750479238	-0.10599891812381396
5.745	-76.86014780744176	-0.10621678690500118
5.76	-76.86014811501305	-0.1064520221203193
5.775	-76.86014842751317	-0.10670369472981517
5.79	-76.86014874496067	-0.10697082061529462
5.805	-76.86014906737923	-0.10725236443809377
5.82	-76.86014939480023	-0.10754724366514559
5.835	-76.86014972726622	-0.10785433274765782
5.85	-76.86015006482492	-0.10817246743621375
5.865	-76.86015040753007	-0.10850044921575136
5.88	-76.86015075544526	-0.10883704984344825
5.895	-76.86015110863875	-0.10918101597227439
5.91	-76.86015146718493	-0.1095310738427634
5.925	-76.8601518311644	-0.10988593402536348
5.94	-76.86015220066317	-0.11024429619564623
5.955	-76.86015257576965	-0.11060485392462266
5.97	-76.86015295657843	-0.11096629946646569
5.985	-76.86015334318581	-0.11132732852600827
6	-76.86015373568979	-0.11168664498858916
6.015	-76.8601541341914	-0.11204296559503736
6.03	-76.86015453879116	-0.11239502454487815
6.045	-76.86015494959098	-0.11274157801120258
6.06	-76.86015536669085	-0.11308140855106436
6.075	-76.86015579018972	-0.11341332939573151
6.09	-76.86015622018306	-0.11373618860566079
6.105	-76.86015665676477	-0.11404887307564161
6.12	-76.86015710002223	-0.11435031237618386
6.135	-76.86015755003744	-0.11463948241792045
6.15	-76.8601580068897	-0.11491540892652327
6.165	-76.86015847064711	-0.11517717071636177
6.18	-76.86015894137378	-0.1154239027520272
6.195	-76.86015941912153	-0.11565479898759325
6.21	-76.86015990393707	-0.11586911497444759
6.225	-76.86016039585186	-0.1160661702293643
6.24	-76.86016089488953	-0.11624535035549637
6.255	-76.86016140106013	-0.11640610890985063
6.27	-76.86016191436379	-0.11654796901183748
6.285	-76.86016243478448	-0.11667052468843332
6.3	-76.86016296229442	-0.11677344195254213
6.315	-76.86016349684904	-0.11685645961209234
6.33	-76.86016403839133	-0.11691938980847669
6.345	-76.86016458684713	-0.11696211828389039
6.36	-76.86016514212791	-0.11698460437817938
6.375	-76.8601657041262	-0.1169868807567751
6.39	-76.86016627272039	-0.11696905287230339
6.405	-76.86016684777177	-0.11693129816339526
6.42	-76.86016742912244	-0.11687386499519353
6.435	-76.86016801660115	-0.11679707134700273
6.45	-76.86016861001376	-0.11670130325337474
6.465	-76.8601692091545	-0.11658701300585148
6.48	-76.86016981379625	-0.11645471712339597
6.495	-76.86017042369738	-0.11630499410037466
6.51	-76.86017103859734	-0.11613848194168708
6.525	-76.86017165822128	-0.11595587549540344
6.54	-76.86017228227477	-0.11575792359393404
6.555	-76.8601729104513	-0.11554542601541215
6.57	-76.86017354242566	-0.11531923027753935
6.585	-76.86017417785816	-0.1150802282767121
6.6	-76.86017481639692	-0.11482935278573445
6.615	-76.86017545767471	-0.11456757382383756
6.63	-76.86017610130995	-0.11429589491314782
6.645	-76.86017674691146	-0.11401534923607078
6.66	-76.86017739407589	-0.11372699570829138
6.675	-76.86017804238658	-0.11343191498236889
6.69	-76.86017869142113	-0.11313120539703939
