L= 50  beta= 0.01  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
40	0.022753735322811337
41	0.009835307060315344
42	0.01352783691932135
43	0.0007483248104068474
44	0.004525639512425364
45	0.008222754186583095
46	0.004466959590047559
47	0.01731740233616759
48	0.013618969319101962
49	0.029481760471756532

L= 50  beta= 4.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	0.8227506401834092
2	0.8059777535581698
3	0.7918006744861386
4	0.7881252509902501
5	0.7760990031749022
6	0.7727988145751495
7	0.7609183845929368
8	0.7577175027499381
9	0.7459300503197075
10	0.7428196941908635
11	0.731122062460308
12	0.7281002674977386
13	0.7164906393576522
14	0.7135556374813339
15	0.7020322523948131
16	0.699182300944482
17	0.6877434201048604
18	0.6849767970159885
19	0.6736207019903269
20	0.6709357052652357
21	0.6596606975549681
22	0.6570556448502773
23	0.6458600454808431
24	0.6433332737021851
25	0.632215422819254
26	0.6297652877209796
27	0.6187235441906829
28	0.6163484199798348
29	0.6053811609935897
30	0.6030794399384911
31	0.5921850606221779
32	0.5899551526652715
33	0.5791320656928438
34	0.576972398067121
35	0.5662190332725915
36	0.564128050101066
37	0.5534428539576817
38	0.5514190153155324
39	0.5408004468194674
40	0.5388422137105335
41	0.5282886463078483
42	0.5263940993025646
43	0.5159012707834332
44	0.5140582117789112
45	0.5035528471177321
46	0.5014824303094506
47	0.4891073571501964
48	0.4795853840998463
49	0.4149958858440118

L= 50  beta= 8.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	0.8180569345901683
2	0.8025953114100846
3	0.797136977591732
4	0.7975083152048807
5	0.7957164662889618
6	0.7967138155169886
7	0.7951210581869891
8	0.7961532548967135
9	0.7945725429339765
10	0.7956068211025755
11	0.7940268664680026
12	0.7950612939100011
13	0.7934814110809476
14	0.7945158734500941
15	0.7929360212364646
16	0.7939705118005607
17	0.7923906877356494
18	0.7934252060842409
19	0.7918454100042115
20	0.7928799560954962
21	0.7913001879725877
22	0.7923347617861731
23	0.7907550216006501
24	0.7917896231173764
25	0.790209910849985
26	0.7912445400507758
27	0.7896648556822796
28	0.7906995125480425
29	0.7891198560591259
30	0.7901545405705216
31	0.7885749119404866
32	0.7896096240743626
33	0.7880300232614355
34	0.7890647629361062
35	0.787485189575548
36	0.7885199558125222
37	0.7869404046064492
38	0.787975182721474
39	0.7863955733581124
40	0.7874301399753372
41	0.7858492595144444
42	0.7868802287928663
43	0.785279925838313
44	0.7862561088607881
45	0.7843665969203693
46	0.784502110978924
47	0.7782151516993029
48	0.7641085384556314
49	0.6756170547273734

