L= 50  beta= 0.5  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 10.0
# t 	 E 	 mag 	 corr 	 err
0.575	-222.87376480247025	-0.4737576833077533	-4534304365795603e-26	17017873407891896e-35
0.58	-226.29330574341384	-0.4715648079459286	-784635950613152e-25	29320324909451846e-35
0.585	-229.47863225067627	-0.4691163093652802	-1197134151706926e-25	2641319704270764e-34
0.59	-232.43611757600593	-0.4664973565188145	-16802513286924988e-26	2728212709298499e-34
0.595	-235.17407232026065	-0.46380227758276343	-22199567156691268e-26	19426572049347358e-35
0.6	-237.7023503957351	-0.46113107155297034	-27992463571316604e-26	32207958000593654e-35
0.605	-240.03195652439055	-0.45858542257046797	-33987023284532173e-26	14968582231440806e-35
0.61	-242.17466971785285	-0.45626440119265066	-39972076278362615e-26	23476667903678497e-35
0.615	-244.14269486883012	-0.45426006525852547	-45727864281722697e-26	36807304340382427e-35
0.62	-245.9483518774178	-0.4526531892425326	-5103530660535839e-25	33366438533007194e-35
0.625	-247.60380884869159	-0.45150935366473194	-5568567365228078e-25	3585844906617917e-34
0.63	-249.1208630286692	-0.45087561477218524	-5949017080134408e-25	37319508026505386e-35
0.635	-250.51077046427247	-0.45077794981504904	-6228892840313595e-25	3669029512428222e-34
0.64	-251.78412301418692	-0.4512196361912402	-6395891352697724e-25	343293284671845e-33
0.645	-252.9507693954278	-0.4521806756823622	-644203299248898e-24	29266584873483657e-35
0.65	-254.01977547692226	-0.4536183207232219	-6364115002428953e-25	25248423262759584e-35
0.655	-254.99941803931645	-0.45546870133202316	-6163952020357408e-25	2102952909672323e-34
0.66	-255.89720569103503	-0.45764949238716457	-5848389185303626e-25	3038366270720805e-34
0.665	-256.7199205165083	-0.460063504770967	-5429085025310232e-25	4383806007659598e-34
0.67	-257.47367427107537	-0.4626030337123546	-4922073017739656e-25	29504447419482406e-35
0.675	-258.16397345212374	-0.46515475625741987	-43471217751183253e-26	33347989613511443e-35
0.68	-258.79578829018885	-0.46760493945185533	-37269234520406405e-26	3614118433811744e-34
0.685	-259.37362153937096	-0.46984470314687155	-3086147844335533e-25	30683183468757683e-35
0.69	-259.9015738359913	-0.4717750772330548	-2450405397070683e-25	4076547797391132e-34
