L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t      E   mag_x   max_z   corr    err     entropy
0.825   -63.24543542884066  -0.6463850052179658 -0.018868826331227807   -0.1751154852273077 12207401676898258e-36   0.5241523125784084
0.85    -63.2420021838535   -0.6464658092064065 -0.019080048152415326   -0.1750948738603011 1364815847800863e-35    0.5240784025504063
0.875   -63.23938314644482  -0.6465366322858989 -0.019091446622082023   -0.17508300189673714    15844301868278843e-36   0.5240085403721784
0.9 -63.23746606127161  -0.6465948051891941 -0.018899642317175974   -0.1750802104005627 18587685760132407e-36   0.5239437142583977
0.925   -63.236120236069056 -0.6466385370149068 -0.01850470487159321    -0.17508640710722348    21910408986817284e-36   0.5238849936324526
0.95    -63.23521545814123  -0.6466668443817235 -0.017909906286164994   -0.17510108070200134    2588692228680196e-35    0.5238335075705878
0.975   -63.234634767837576 -0.6466794578226603 -0.017121458003713955   -0.17512333618276446    3014812451449388e-35    0.5237904138072695
1   -63.23428117306775  -0.6466767232964212 -0.01614824436262505    -0.1751519473904731 34386910419284e-33  0.5237568599912951
1.025   -63.23407944686098  -0.6466595080503191 -0.015001558898548926   -0.17518542272029555    3835117931567753e-35    0.523733939317492
1.05    -63.23397459216062  -0.6466291136566183 -0.013694845564537173   -0.17522208010890472    4214357412892784e-35    0.5237226429426465
1.075   -63.233928517075    -0.6465871953021698 -0.012243444278744854   -0.17526012752311668    46563288012693907e-36   0.5237238117395185
1.1 -63.23391613909602  -0.6465356849672275 -0.010664339006017574   -0.17529774531516656    52622545315432765e-36   0.5237380899582734
1.125   -63.23392171461259  -0.6464767162452432 -0.008975906432466832   -0.17533316696772797    6146147953999035e-35    0.5237658832621405
1.15    -63.233935801582795 -0.6464125494822025 -0.0071976637936184504  -0.1753647549564376 7414047058731063e-35    0.5238073233916561
1.175   -63.233952974319    -0.6463454970664696 -0.005350015224643473   -0.17539106873843274    7975019966147744e-35    0.5238622414020723
1.2 -63.23397023360419  -0.6462778497184961 -0.0034539968691867365  -0.17541092225255375    9819997874270786e-35    0.5239301510254115
1.225   -63.23398597455864  -0.6462118053476443 -0.001531021760703018   -0.17542342879483622    11995878653522895e-35   0.5240102432505925
1.25    -63.23399935844174  -0.646149402430508  0.0003973738967571775   -0.17542803169989274    13656838106021392e-35   0.5241013927132392
1.275   -63.23400995353263  -0.6460924599624818 0.002309780992693735    -0.17542451989075147    15890625853819432e-35   0.5242021759646831
1.3 -63.2340175423889   -0.6460425259105451 0.004185162006261977    -0.17541302802667283    18448542751547426e-35   0.5243109011713494
1.325   -63.234022024985144 -0.6460008358183608 0.006003087308789366    -0.17539402165068835    22261369764261985e-35   0.5244256483040749
1.35    -63.234023373300126 -0.6459682828396903 0.00774396084852454 -0.17536826837999464    2356649936301688e-34    0.5245443184330648
1.375   -63.23402161145439  -0.6459454000452743 0.00938923288038852 -0.1753367967630887 25707215042365663e-35   0.5246646903663525
1.4 -63.23401680740098  -0.645932355390813  0.010921597553295189    -0.17530084492525014    2500833664620688e-34    0.5247844825721601
1.425   -63.23400906916463  -0.645928959272595  0.01232517336214403 -0.17526180151120094    2806042677652229e-34    0.5249014181195278
1.45    -63.233998542424004 -0.6459346841498057 0.013585664698191136    -0.17522114170136177    29956416924548597e-35   0.5250132902625948
1.475   -63.23398540813025  -0.6459486952939354 0.01469050298022881 -0.17518036122023592    3129440093027115e-34    0.5251180262833863
1.5 -63.233969879724576 -0.6459698913495645 0.015628966113067504    -0.1751409112548126 2882605950041098e-34    0.5252137472921183
1.525   -63.233952199865286 -0.6459969530682188 0.016392275293685667    -0.1751041370866783 30426414683139196e-35   0.5252988218564301
1.55    -63.233932636722216 -0.646028398318994  0.016973668464558035    -0.17507122298948416    29546077680814656e-35   0.5253719115809456
1.575   -63.23391147990415  -0.6460626412929756 0.017368449994375892    -0.17504314561384246    3021250898853142e-34    0.5254320070754118
1.6 -63.23388903611485  -0.6460980537096526 0.01757401644559447 -0.17502063763938197    31569798343653356e-35   0.5254784531201693
1.625   -63.233865624612775 -0.6461330258042641 0.01758985856227856 -0.17500416298098093    2998670285242865e-34    0.5255109622477149
1.65    -63.233841572549196 -0.6461660249259589 0.017417539878262448    -0.17499390429914666    30615541457598997e-35   0.52552961639231
1.675   -63.233817210261634 -0.6461956497044291 0.01706065260170664 -0.17498976301539856    32769305408620393e-35   0.5255348566990079
1.7 -63.2337928665936   -0.6462206779415265 0.0165247516752769  -0.17499137149258792    3169111200309918e-34    0.5255274620106971
1.725   -63.23376886430684  -0.646240106646561  0.01581726813890428 -0.17499811651212385    34399369982186574e-35   0.5255085169515048
1.75    -63.233745515652465 -0.6462531829483734 0.014947403132432481    -0.17500917273021832    32438030419212694e-35   0.5254793708811123
1.775   -63.23372311816683  -0.6462594249727083 0.013926004066316347    -0.17502354441884818    3092547013987093e-34    0.5254415892990651
1.8 -63.233701950750024 -0.6462586321552838 0.012765424657995603    -0.17504011346155404    30380394776603064e-35   0.5253968995220475
1.825   -63.23368227007761  -0.6462508848559622 0.011479370678461692    -0.17505769139372288    3179276574579552e-34    0.525347132637953
1.85    -63.23366430740023  -0.6462365335324098 0.010082733376600324    -0.1750750731553103 33868261662788174e-35   0.5252941638514964
1.875   -63.23364826576492  -0.6462161781083893 0.008591412646300195    -0.17509109021987226    33600837338229655e-35   0.5252398533705076
1.9 -63.23363431769895  -0.6461906385190245 0.00702213207425613 -0.17510466085867624    31933609397523896e-35   0.5251859899289943
1.925   -63.233622603382756 -0.6461609177205153 0.005392248052180093    -0.17511483548733434    3248421081467245e-34    0.525134238897549
